Original Name,Search Term
XENETIX 350MG IODINE-ML SOLN.FOR INJ,XENETIX
XELODA 500MG TABLET,XELODA
XEFO 8MG TAB,XEFO
XARELTO 20MG FILM COATED TABLET,XARELTO
SYSTANE LUBRICANT EYE DROPS,SYSTANE
SYNFLORIX VACCINE,SYNFLORIX
ROACCUTANE 20MG CAPS,ROACCUTANE
RIZINO 5MG/5ML SYRUP,RIZINO
RIVOTRIL TAB 2 MG,RIVOTRIL
RITALIN TAB. 10MG,RITALIN
RISPERDAL CONSTA 50MG I.M VIAL,RISPERDAL
ROLIP ointment,ROLIP
ROFENAC-D 50MG TAB,ROFENACD
ROFENAC GEL 1%,ROFENAC
RINGERS INJECATION 500 ML SOLUTION,RINGERS
RINGER SOLUTION I.V INFUSION,RINGER
RIFADIN CAP 300 MG,RIFADIN
RISIDONE 1MG/1ML ORAL SOLUTION,RISIDONE
Rinofed Cold & Allergy Tablets,RINOFED
RINOCLENIL 100MCG-DOSE NASAL SPRAY,RINOCLENIL
RIFACIN 300 MG CAPS,RIFACIN
ROMIN 15 MG-5 ML SYRUP,ROMIN
RONEM 500MG,RONEM
SAPOFEN JUNIOR 100MG-5ML SUSPENSION,SAPOFEN
SANDOSTATIN LAR 30MG VIAL,SANDOSTATIN
SANCUSO 34.3 mg transdermal patch,SANCUSO
SAMIXON 500MG VIAL + SOLVENT,SAMIXON
SARTAN 100 mg Film coated Tablets,SARTAN
SELEKTINE,SELEKTINE
SELECTA PLUS 5MG-12.5MG F.C. TABLETS,SELECTA
SEDACORON 200MG TAB,SEDACORON
SECNID 500MG TABLETS,SECNID
SECNEZOLE 500MG TABLETS,SECNEZOLE
SCANDICAINE 3% CARTRIDGE 1.8ML,SCANDICAINE
SAXID 4MG TABLET,SAXID
SEDACID 20 MG COATED TABLETS,SEDACID
SALOFALK 500MG TAB,SALOFALK
ROXONIN 60MG TABLET,ROXONIN
ROXIL 500MG CAPS,ROXIL
ROTATEQ ORAL VACCINE,ROTATEQ
ROTARIX ORAL SUSPENSION VACCINE,ROTARIX
ROZEX GEL 0.75% W-W,ROZEX
RUMAFEN,RUMAFEN
SALIPAX 20,SALIPAX
SALIDEX TOPICAL SOLUTION,SALIDEX
SALIBET OINTMENT,SALIBET
SALBULASE 2MG-5ML SYRUP,SALBULASE
RIDON 4 MG FILM COATED TABLETS,RIDON
REPADERM GEL,REPADERM
RENITEC,RENITEC
REMOX 500 MG CAPSULES,REMOX
REPARIL 20MG TAB,REPARIL
RESPAL 4 MG TABLETS,RESPAL
RESOVA 20MG FILM COATED TABLETS,RESOVA
REMINYL 4 MG - ML ORAL SOLUTION,REMINYL
RESCLAR 500MG TABLETS,RESCLAR
RESOLVE PLUS 1.0 CREAM,RESOLVE
RECORMON PFS 10000IU-0.6ML SOLU. FOR INJ,RECORMON
REMICADE 100MG VIAL FOR INJ,REMICADE
RELESTAT 0.05% EYE DROPS,RELESTAT
RELENZA 5MG POWDER FOR INHALATION,RELENZA
RELAXON CAP,RELAXON
REGAINE TOPICAL SOLN 2%,REGAINE
REFRESH TEARS 0.5% EYE DROPS,REFRESH
RECTACURE,RECTACURE
RIASERTAL 100 mg film-coated tablet,RIASERTAL
RIAPHYLLIN 60MG/5ML SYRUP,RIAPHYLLIN
RIAPHAN 15 mg per 5 ml,RIAPHAN
RIANEST,RIANEST
RIALOX,RIALOX
RIALOCAINE 2 % Gel,RIALOCAINE
RIBAVIN 200 MG CAPSULES,RIBAVIN
RIAZOLIN,RIAZOLIN
RIAZOLE,RIAZOLE
RIAXINE,RIAXINE
RIATROPINE 1%,RIATROPINE
RIAGESIC,RIAGESIC
RHEUFACT 20MG FILM COATED TABLETS,RHEUFACT
RETROVIR CAPS 100MG,RETROVIR
RETARPEN 1.2MEGA U.WITH SOLVENT,RETARPEN
RHINASE 0.05% AQUEOUS NASAL SPRAY,RHINASE
Rhinathiol Promethazine,RHINATHIOL
RIACHOL EYE OINT.1%,RIACHOL
RIACAVILOL 6.25 MG TABLET,RIACAVILOL
RHOPHYLAC 300MCG-2ML SOL. FOR INJ.IN PFS,RHOPHYLAC
RHINOCORT AQUA 64MCG NASAL SPRAY,RHINOCORT
SEPTANEST N 1-200000 DENTAL CARTRIDGE,SEPTANEST
SORTIVA FORTE 100MG F.C. TABLETS,SORTIVA
SORBIT 5 G POWDER PACKET,SORBIT
SOLVEX 4MG-5ML SYRUP,SOLVEX
SOLU-MEDROL-INJ. 125 MG,SOLUMEDROLINJ
SOLU-MEDROL 1000 mg powder and solvent for solution for injection,SOLUMEDROL
SPASMEX 30MG FILM COATED TABLET,SPASMEX
SPASMOPAN 10MG TAB.,SPASMOPAN
STALORAL MITES MAINTENANCE,STALORAL
STALEVO 50-12.5-200MG FILM COATED TAB.,STALEVO
SPIRIVA 18MCG HARD CAPSULE,SPIRIVA
SPEDIFEN 600MG GRANULES,SPEDIFEN
SPASMOTALIN 100MG TAB,SPASMOTALIN
SOLU CORTEF Act-O-Vial 100 mg powder and solvent for solution for injection,SOLU
SODIUM CHLORIDE 5.85% AMP,SODIUM
SOLPADEINE SOLUBLE TABLET,SOLPADEINE
SOLOTIK 50MG F-C TABLETS,SOLOTIK
SOJOURN 100% VAPOUR LIQUID FOR INHALATION,SOJOURN
SUFENTA FORTE AMP 50MCG-ML,SUFENTA
STUGERON 25MG TAB,STUGERON
STRAVIS 50MG FILM COATED TABLETS,STRAVIS
SUPRAX 100 SUSP,SUPRAX
SYMBICORT TURBUHALER,SYMBICORT
SUTENT 50 MG CAPSULE,SUTENT
SURECURE 0.1% TOPICAL GEL,SURECURE
SUPRAZOLE 200 MG TABLETS,SUPRAZOLE
STELAZINE 5MG TABLETS,STELAZINE
STELARA 90mg/1ml SOLUTION FOR INJECTION,STELARA
STANDACILLIN 500MG INJ WITH SOLVENT,STANDACILLIN
STERILE WATER FOR INJ 500 ML,STERILE
STIEPROX 1.5% SHAMPOO,STIEPROX
SMOFKABIVEN PERIPHERAL EMULSION for infusion,SMOFKABIVEN
SINEMET 25-250MG TABLETS,SINEMET
SINATEN 100000 I.U VAGINAL TAB.,SINATEN
SIMVAGEN 40 mg film-coated tablet,SIMVAGEN
SIMVA 40 MG COATED TABLET,SIMVA
SNAFI 20MG TAB,SNAFI
SOD. CHLORIDE 3% I.V SOLUTION,SOD
SIMCOR 20 MG F-C TABLETS,SIMCOR
SEROQUEL 300MG F-C TABS,SEROQUEL
SERMION TAB 5MG,SERMION
SERETIDE EVOHALER 25/50,SERETIDE
SIFROL 0.7MG (EQU. 1.00MG) TAB,SIFROL
SEVIKAR 40/5MG FILM COATED TABLET,SEVIKAR
SETRAL 50MG F.C. TABLETS,SETRAL
SEROXAT CR 25MG TABLETS,SEROXAT
SOD.CHLORIDE 0.18%+DEXTROSE 5 % INFUSION,SODCHLORIDE
LACTATED RINGERS INJECTION USP 500 ML,LACTATED
CLIMEN TABLETS,CLIMEN
CLENIL FORTE 250MCG PUFF METERED INHALER,CLENIL
CLAVODAR 625GM FILM COATED TABLET,CLAVODAR
CLARIXIN 500 MG TABLET,CLARIXIN
CLARITT XL 500MG EXTENDED RELEASE TABLETS,CLARITT
CLINDASOL 10MG-ML Solution,CLINDASOL
CLIOCORT,CLIOCORT
CLOPIXOL-ACUPHASE 50MG-ML OILY AMP,CLOPIXOLACUPHASE
CLOPIXOL DEPOT INJ 500MG-ML OILY AMP,CLOPIXOL
CLOFAST 1% GEL,CLOFAST
CLODERM 0.05% OINTMENT,CLODERM
CLOBESON,CLOBESON
CLOBEDERM,CLOBEDERM
CLORACEF 250MG/5ML SUSP,CLORACEF
CITANEST 3% DENTAL OCTAPRESSIN CARTRIDGE,CITANEST
CITALOPRAM HEXAL 40MG F.C. TABLETS,CITALOPRAM
CITALOGEN 20 mg film-coated tablet,CITALOGEN
CISPLATIN 0.5MG-ML INJ.,CISPLATIN
CITRIN 5MG-5ML SYRUP,CITRIN
CLARITINE 5MG-5ML SYRUP,CLARITINE
CLARIMAC 500 mg film-coated tablet,CLARIMAC
CLARIDAR,CLARIDAR
CLARAZOLE 2% CREAM,CLARAZOLE
CLARA 5MG\5ML SYRUP,CLARA
CONCOR COR,CONCOR
CONCERTA EXTENDED RELEASE 36MG TABLET,CONCERTA
CONAZOLE VAGINAL CREAM 20MG-1GM,CONAZOLE
CONAZOL 2% CREAM,CONAZOL
CONTRACTUBEX,CONTRACTUBEX
COVERAM 5MG-10MG TABLETS,COVERAM
CO-TABUVAN,COTABUVAN
COSMOFER 625MG-2ML AMPOULES,COSMOFER
CORTIDERM 1% CREAM,CORTIDERM
CO-RENITEC,CORENITEC
CORDARONE 150MG-3ML AMP.,CORDARONE
COPEGUS 200 MG FILM COATED TABLET,COPEGUS
COMPOUND SODIUM LACTATE INFUSION,COMPOUND
COBAL 500MCG TAB,COBAL
Co-Aprovel 150-12.5 MG TABLET,COAPROVEL
CO-DIOVAN,CODIOVAN
CLOVIR 5% CREAM,CLOVIR
CLOVAINE 10% W/W GEL,CLOVAINE
CLOTRIZOLE 100MG VAGINAL TABLETS,CLOTRIZOLE
CLOTRIM 100 MG VAGINAL TABLETS,CLOTRIM
CLOTREX,CLOTREX
COMBIVIR F.C TAB,COMBIVIR
COLPERMIN 187MG CAPS,COLPERMIN
COLI-URINAL effervescent granules,COLIURINAL
COMBIGAN,COMBIGAN
CIPROXEN 750MG FILM COATED TABLET,CIPROXEN
CEFUREX 250MG-5ML POWDER FOR SUSPENSION,CEFUREX
CEFRAX 400MG CAPSULES,CEFRAX
CEFPROZ 250MG-5ML POWDR FOR ORAL SUSP,CEFPROZ
CEFUTIL 250MG F.C TABLET,CEFUTIL
CEPHALEX ORAL SUSP 250MG-5ML,CEPHALEX
CEPHADAR CAPSULES 250MG,CEPHADAR
CELSENTRI 300MG F.C. TABLETS,CELSENTRI
CELLCEPT 250 MG CAPS,CELLCEPT
CEFOFIX 750 MG VIALS,CEFOFIX
CEFODOX 200 MG FILM COATED TABLETS,CEFODOX
CEFADROX 500MG-5ML SUSPENSION,CEFADROX
CEECAL EFFERVESCENT TABLETS,CEECAL
CECLOR MR 750 MG TAB,CECLOR
CEFAXON 1GM I.M+5 ML LIDOCAINE VIAL,CEFAXON
CEFIZOX 1000 VIAL I-V,CEFIZOX
CEFIX 200MG CAPSULES,CEFIX
CEFIM 400MG CAPSULES,CEFIM
CERAZETTE 75MCG TAB,CERAZETTE
CIPROGEN,CIPROGEN
CIPROFLACIN 500 MG FILM COATED TABLETS,CIPROFLACIN
CIPROCIN 500MG TAB,CIPROCIN
CIPROBAY 500MG TAB,CIPROBAY
CIPROHEXAL 250MG F.C. TABLETS,CIPROHEXAL
CIPRO-SOL 200MG / 100 ML Glass bottle,CIPROSOL
CIPROQUIN,CIPROQUIN
CIPROPHARM 500MG TABLET,CIPROPHARM
CIPROMID 750MG F.C. TABLETS,CIPROMID
CIPROMAX 500 MG TABLET,CIPROMAX
CIPROLON 200 VIAL 100ML,CIPROLON
CEPROTIN 500 IU POWDER FOR SOLUTION FOR INJECTION OR INFUSION,CEPROTIN
CIPRAM 20MG TAB,CIPRAM
CIFLOX 500MG TABLET,CIFLOX
CETROTIDE 0.25MG POW. FOR SOLU. FOR INJ.,CETROTIDE
CERVARIX VACCINE,CERVARIX
CERTICAN 0.75MG TABLETS,CERTICAN
CERNEVIT,CERNEVIT
CEVITIL 1 g effervescent tablet,CEVITIL
CHAMPIX 0.5 MG F-C TAB,CHAMPIX
CHORIOMON 5000 I.U VIAL+AMP OF SOLVENT,CHORIOMON
CHLOROQUINE,CHLOROQUINE
COVERSYL 10MG F.C. TABLETS,COVERSYL
DEXTROSE 10% I.V.INFUSION,DEXTROSE
DEXTROKUF 15MG\5ML SYRUP,DEXTROKUF
DEXTRAN-70 6% IN N.SALINE INF,DEXTRAN
DAKTACORT CREAM 20MG-GM,DAKTACORT
DAIVONEX OINT. 50MCG-G,DAIVONEX
DAIVOBET OINTMENT,DAIVOBET
DAFLON 500MG TAB,DAFLON
DAKTARIN CREAM 2%,DAKTARIN
DAROXIME,DAROXIME
DAONIL M 500/5MG TABLETS,DAONIL
DANSETRON 2MG\ML AMP. FOR I.V INJECTION,DANSETRON
DALACIN-C 150 mg/ml ampoule,DALACINC
DALACIN VAGINAL CREAM 2%,DALACIN
CURAM 1.2GM POW. FOR SOLN. FOR INJECTION- INFUSION,CURAM
CURACNE 40MG SOFT GELATIN CAPSULE,CURACNE
CUPIDO,CUPIDO
CROTAPHIL 10% LOTION,CROTAPHIL
CROMA EYE DROP,CROMA
CRESTOR 20 MG FILM COATED TABLETS,CRESTOR
COZAAR 100 mg film-coated tablet,COZAAR
COXICAM,COXICAM
CYKLOKAPRON INJ 100MG-ML INJECTION,CYKLOKAPRON
CUTIVATE 0.005% ointment,CUTIVATE
DERMOFUCIN 2% OINTMENT,DERMOFUCIN
DERMOFIX 2% CREAM,DERMOFIX
DERMATIN SOLUTION 1%,DERMATIN
DERMA-T SOLUTION,DERMAT
DERMAMED 0.05% OINTMENT,DERMAMED
DERMA T 10MG TOPICAL LOTION,DERMA
DERMOVATE 0.05% SCALP APPLICATION,DERMOVATE
DEXANOL CREAM 30 GM,DEXANOL
DEXAMETHASONE SOD.PHOSPHATE 8MG-2ML AMP,DEXAMETHASONE
DEXAFLOX OPHTHALMIC SUSPENSION,DEXAFLOX
DETRUSITOL RETARD 4 mg capsule,DETRUSITOL
DESLOR 5 MG FILM COATED TABLET,DESLOR
DESFERAL VIAL 500MG,DESFERAL
DEWAX 5MG-ML OTIC DROPS,DEWAX
DEPRAN 40 mg film-coated tablet,DEPRAN
DEPRALEX 20MG FILM COATED TABLET,DEPRALEX
DEFLAT 40 MG/ML ORAL DROPS,DEFLAT
DEFADOL 160MG-5ML SUGAR FREE SYRUP,DEFADOL
DECOZAL NASAL SPRAY,DECOZAL
DEFONASE SYRUP,DEFONASE
DECAPEPTYL CR 3.75MG SYRINGE,DECAPEPTYL
DECAL B12,DECAL
DEFONEX 0.05% NASAL SPRAY,DEFONEX
DEFORAX 5% CREAM,DEFORAX
DEPOVIT B12 1000 AMP 1ML,DEPOVIT
DEPO-PROVERA VIAL I-M 150MG-ML,DEPOPROVERA
DEPO MEDROL VIAL 40MG-ML SAS,DEPO
DEPAKINE 400MG-4ML Powder for injection,DEPAKINE
DEFOPAN 5MG-5ML SYRUP,DEFOPAN
DEMENTILE 10MG TABLET,DEMENTILE
DEFOSALIC OINTMENT,DEFOSALIC
CAVERJECT 20MCG VIAL,CAVERJECT
CARVIDOL 6.25MG TABLET,CARVIDOL
ANTACID JEDCO 480MG CHEWABLE TABLETS,ANTACID
ANEXATE 0.5MG AMP 5ML,ANEXATE
ANAZOL 500 MG F.C. TAB,ANAZOL
ANTIPLATE 75MG TAB,ANTIPLATE
ANZATAX 6MG-ML VIAL,ANZATAX
APIMOL 0.5% EYE DROPS,APIMOL
APILLERG EYE DROPS,APILLERG
APIHIST EYE\NOSE DROP,APIHIST
APIGEN 0.3% EYE OINTEMENT,APIGEN
AMVASC 5MG CAPSULE,AMVASC
APIFLOX 0.3% EYE DROPS,APIFLOX
APICROM 2% EYE DROPS,APICROM
APICORT FORTE 10MG-ML EYE SUSP.,APICORT
APICARPINE 4% EYE DROPS,APICARPINE
APIDRA SOLOSTAR 100 U- ML DISPOSABLE PEN,APIDRA
AMRIZOLE SUSP 125MG-5ML,AMRIZOLE
AMLOR CAPS 5MG,AMLOR
AMLOPINE 5MG CAPSULE,AMLOPINE
AMLOCARD 5MG TABLETS,AMLOCARD
AMISTOP 5MG-5ML SUSPENSION,AMISTOP
AMINOVEN,AMINOVEN
AMINOPLASMAL B BRAUN 10%,AMINOPLASMAL
AMINOPHYLLINE INJ 250MG,AMINOPHYLLINE
AMOCLAN 1.2 GM VIAL,AMOCLAN
AMPIPLUS 1.5GM POWDER FOR INGECTION,AMPIPLUS
AMOXIPLUS 1.2GM Powder for injection,AMOXIPLUS
AMOXIL POWDER FOR ORAL SUSPENSION 125MG-5ML,AMOXIL
APO-DICLO 50 mg enteric-coated tablet,APODICLO
ATACAND 8 MG TAB,ATACAND
ASTATIN 40MG F.C TABLETS,ASTATIN
ASPICOT 100 MG E.C. TABLETS,ASPICOT
ASPICARD 81MG TAB,ASPICARD
ASMADIL TABS 2MG,ASMADIL
ATACURE 50 MG per 5 ML,ATACURE
ATAPINA 100MG FILM COATED TABLET,ATAPINA
ATORVA 10MG F.C. TABLETS,ATORVA
ASACOL 800MG GASTRO-RESISTANT TABLETS,ASACOL
ARTIZ 10 MG F.C TABLET,ARTIZ
ARANESP 300MCG-0.6ML PRE-FILLED SYRINGE,ARANESP
APPI- D 0.5MG-10ML SYRUP,APPI
APO-DOXY 100MG CAPS,APODOXY
AROMASIN 25MG COATED TAB,AROMASIN
ARIMIDEX 1MG TAB,ARIMIDEX
ARENA 300MG TABLET,ARENA
ARBITEN PLUS,ARBITEN
ARAVA 20MG FILM COATED TABLETS,ARAVA
ARAPENTA Injection*,ARAPENTA
ACTEMRA 20 MG/ML Solution for injection/infusion,ACTEMRA
ACRETIN,ACRETIN
ACNEZOYL 5% GEL,ACNEZOYL
ACNELIN,ACNELIN
ACLASTA 5MG-100ML SOLUTION FOR Infusion*,ACLASTA
ACILOC,ACILOC
ACTILYSE SET(2VLS+2SOLV&INFSET),ACTILYSE
ADENOHARDT 6MG/2ML SOLUTION FOR INFUSION,ADENOHARDT
ADALAT 30MG LA TAB,ADALAT
ACTRAPID,ACTRAPID
ACTOS 30MG TAB,ACTOS
ACULAR LS 0.4% OPHTHALMIC SOLUTION,ACULAR
ADOLIN 0.1% W-W CREAM,ADOLIN
ACC LONG 600MG EFFERVESCENT TABLETS,ACC
ACETAB 25 MG TABLETS,ACETAB
ACID CONC. HAEMODIALYSIS KSP-06 (1+34),ACID
ACICONE - S 720 MG CHEWABLE TAB,ACICONE
ACICAL PLUS CHEWABLE TABLETS,ACICAL
ALLERFIN AMP 10MG-ML,ALLERFIN
ALKA-UR EFFERVES. 4GM GRANULES SUGARFREE,ALKAUR
ALEXAN 2000MG- 40ML VIAL,ALEXAN
ALLERGETIN SYRUP,ALLERGETIN
ALLERGODIL NASAL SPRAY WITH SPRAYER,ALLERGODIL
AMBOLAR,AMBOLAR
AMBISOME 50 MG VIAL,AMBISOME
AMARYL 3MG TAB,AMARYL
ALENDRONATE SANDOZ 70MG F/C TABLET,ALENDRONATE
ALPHAGAN-P 0.15% OPHTHALMIC SOLUTION,ALPHAGANP
ALPAX AMP. 2MG-ML,ALPAX
ADRENALINE 1:1000 INJ,ADRENALINE
ALENDRO,ALENDRO
ALDOMET 250MG TABLETS,ALDOMET
AGGRASTAT 0.25MG/ML I.V. VIAL,AGGRASTAT
AFINITOR 5 MG TABLET,AFINITOR
AERIUS 5MG TABLETS,AERIUS
ADVIL COLD AND SINUS CAPLET,ADVIL
ADVATE 500 IU,ADVATE
ADVAGRAF 5MG PROLONGED RELEASE CAPSULE,ADVAGRAF
AGIOLAX GRANULES,AGIOLAX
AGOUT 120 mg film-coated tablets,AGOUT
ALDARA 5% CREAM,ALDARA
ALBUTEIN 20% SOLN. FOR INJ,ALBUTEIN
ALBOTHYL VAGINAL OVULE 90MG,ALBOTHYL
AIRFAST 4MG GRANULES,AIRFAST
AIMAFIX 500I.U. POW. FOR SOLU. FOR INFU,AIMAFIX
ATROPINE SULF. E.S 50MCG-ML,ATROPINE
BRIMO-P OPHTHALMIC SOLUTION 0.1%,BRIMOP
BRIMO,BRIMO
BRILINTA 90 MG FILM COATED TABLET,BRILINTA
BOTOX 100UNITS,BOTOX
BONVIVA 150 MG F.C. TABLETS,BONVIVA
BRONCLYN 1.5MG-5ML SYRUP,BRONCLYN
BRUFEN 400 MG TAB,BRUFEN
CADUET 10-40,CADUET
BUDIAIR 200 MCG PRESSURISED INH SOLUTION,BUDIAIR
BUCAINE 0.5% solution for injection,BUCAINE
BLOPRESS 8 PLUS TABLETS,BLOPRESS
BILAXTEN 20MG TABLET,BILAXTEN
BEVASON 0.1% OINTMENT,BEVASON
BEVACOL 135MG TABLET,BEVACOL
BETNOVATE-N OINTMENT,BETNOVATEN
BETNOVATE-C OINT.,BETNOVATEC
BETNOVATE OINTMENT 0.1%,BETNOVATE
BETAZOL,BETAZOL
BILTRICIDE 600MG TABS,BILTRICIDE
BISOLVON 8MG TABLETS,BISOLVON
BISCOR 5MG F.C. TABLETS,BISCOR
BIOVIT 12 DEPOT,BIOVIT
BIOCEF 500MG CAPSULE,BIOCEF
"CARBOPLATIN ""EBEWE"" 50MG-5ML",CARBOPLATIN
CAPRIL 50MG TAB,CAPRIL
CAPD4 PERITONEAL DIALYSIS SOLN,CAPD
CARDURA XL 4 mg tablet,CARDURA
CARDIOPROL 5MG TABLETS,CARDIOPROL
CARDICOR PLUS 5/12.5MG FILM COATED TABLET,CARDICOR
CALCIUM FOLINATE 50MG-5ML VIAL,CALCIUM
Calciumfolinat Sandoz 10MG-ML VIAL,CALCIUMFOLINAT
CALCINATE,CALCINATE
CAFERGOT 1 MG TAB,CAFERGOT
CANDIZOLE 2% VAGINAL CREAM,CANDIZOLE
CANDIVAST 50MG CAP,CANDIVAST
CANDEUR 150MG CAPSULES,CANDEUR
CalSource Ca-C1000,CALSOURCE
CALSYR  SYRUP,CALSYR
AZI-ONCE,AZIONCE
AZIMAC 500 mg,AZIMAC
AVOTIN- A,AVOTIN
AVORAL 2% SHAMPOO,AVORAL
AVOQUIN,AVOQUIN
AVOMACK,AVOMACK
Avocom-M Cream,AVOCOMM
AVOGAIN,AVOGAIN
BALAD,BALAD
BACTROBAN OINT 2%,BACTROBAN
BACTRIM SUSP,BACTRIM
BACTALL 500MG TABLET,BACTALL
BABYLYTE ORAL SOLUTION,BABYLYTE
AVODART 0.5MG CAPSULE,AVODART
AVOCOM,AVOCOM
AUGMENTIN 457MG-5ML SUSPENSION,AUGMENTIN
AVOCIN,AVOCIN
AVOBAN 2% W-W OINTMENT,AVOBAN
AVAXIM 80U-0.5ML PEDIATRIC VACCINE,AVAXIM
AVASTIN 400 solution for infusion,AVASTIN
AVALOX 400MG SOLUTION FOR I.V. INFUSION,AVALOX
AVALON AVOCAINE,AVALON
AURORIX 300MG TAB,AURORIX
AVAMYS SUSPENSION FOR NASAL SPRAY,AVAMYS
BALANCED SALT SOLUTION BOTTLE,BALANCED
BETADERM 0.1% cream,BETADERM
BERTIGO 8 MG TABLET,BERTIGO
BENZAL 25% LOTION,BENZAL
BENZAC AC 5% GEL,BENZAC
BENLYSTA 400MG POWDER FOR SOLUTION FOR INFUSION,BENLYSTA
BETAFERON 8MIU\ML VIAL,BETAFERON
BETAGEN,BETAGEN
BETATEN 50MG F.C.TABLET,BETATEN
BETASERC 8 MG TAB,BETASERC
BETASAL OINTMENT,BETASAL
BETAMED-N CREAM,BETAMEDN
BETAMED 0.1% TOPICAL OINTMENT,BETAMED
BENEFIX 500 I.U. POWDER FOR SOLUTION FOR INJECTION,BENEFIX
BANEOCIN POWDER,BANEOCIN
BALKATRIN TAB,BALKATRIN
CATALIN OPH. SOLUTION,CATALIN
BENDAZOLE 100 MG TAB,BENDAZOLE
BEKUNIS TABLET,BEKUNIS
BEFOLVIT 5 MG TAB,BEFOLVIT
BASIC BICARBONATE CONCENTRATE 8.125% INF,BASIC
BCG VACCINE AJ Vaccines 0.75MG-VIAL,BCG
GRANITRON 3MG-3ML SOLUTION FOR Injection,GRANITRON
GONAL-F 900 IU solution for injection in pre-filled pen,GONALF
GLYPRESSIN 1MG POWDER FOR I.V. Injection*,GLYPRESSIN
GUAPHAN,GUAPHAN
GYNO-DAKTARIN OVULES 400 MG.,GYNODAKTARIN
GLYCOPHOS 216MG/ML,GLYCOPHOS
GYNO-CORYL 150 MG VAGINAL OVULES,GYNOCORYL
GYNO-CANDIZOL 400 MG VAGINAL OVULES,GYNOCANDIZOL
GYNERA 21 TAB,GYNERA
GUTRON TAB 2.5 MG TAB,GUTRON
GLYCINE IRRIGATION SOLN 1.5%,GLYCINE
GLUCARE 500MG TAB,GLUCARE
GLUCAGEN HYPOKIT,GLUCAGEN
GLORA 10MG TABLETS,GLORA
GLOMOX 500MG CAP,GLOMOX
GLUCOBAY 100MG TAB,GLUCOBAY
GLUCOPHAGE 1 g tablet,GLUCOPHAGE
GLUCOVANCE 2.5/500,GLUCOVANCE
GLUCOSE 5% I.V INFUSION,GLUCOSE
HAEMODIALYSIS ACETATE CONC. SOLU.35X F-6,HAEMODIALYSIS
GLODIP 5MG CAPSULE,GLODIP
GLOCLAV 375MG TAB,GLOCLAV
FUSIBACT-B CREAM,FUSIBACTB
FUSIBACT OINTMENT2%,FUSIBACT
FURAZOL TAB,FURAZOL
FUNZOL 150MG CAPSULES,FUNZOL
FUNGYZOLE 2% TOPICAL CREAM,FUNGYZOLE
FUNGO 1% CREAM,FUNGO
FUNGIMID 50MG CAPSULE,FUNGIMID
FUDION 2% CREAM,FUDION
FUSIDERM 2% CREAM,FUSIDERM
FUSIVER 2% OINTMENT,FUSIVER
GALVUS MET,GALVUS
GADOVIST 1MMOL-ML PRE-FILLED SYRINGE,GADOVIST
FUCIDIN H CREAM,FUCIDIN
GABIN 400MG CAPSULE,GABIN
GABANET 400MG CAPSULE,GABANET
FUSIZONE CREAM,FUSIZONE
FORTICEF 500MG CAPSULES,FORTICEF
FORMIT 850 MG TABLETS,FORMIT
FOLIC ACID,FOLIC
FML 0.1% ophthalmic suspension,FML
FORTZAAR 100/25 mg film-coated tablet,FORTZAAR
FOSAMAX ONCE WEEKLY 70MG TAB,FOSAMAX
FUCICORT 2% CREAM,FUCICORT
FOXITIN 1GM VIAL I.V OR I.M ADMINISTRATI,FOXITIN
FOXIME 500MG VIAL+AMP OF WATER IM-IV USE,FOXIME
FOSTIMON HP 75 IU VIAL (IM) USE,FOSTIMON
FOSTER PRESSURISED SOLUTION FOR INHALATION,FOSTER
GANFORT EYE DROPS,GANFORT
GLIDE 3MG TABLET,GLIDE
GLIBIL-5 TABS,GLIBIL
GLAZE 80MG TAB,GLAZE
GLADOS 30MG TABLET,GLADOS
GLACERA 30MG TABLET,GLACERA
GINSANA TONIC 140MG-15ML,GINSANA
GLIM 1MG TABLETS,GLIM
GLIVEC 400MG TABLET,GLIVEC
GLITRA 4MG TABLETS,GLITRA
GLIPTEN 100MG F.C. TABLET,GLIPTEN
GLIPTAMET,GLIPTAMET
GLIPOM 5MG TABLETS,GLIPOM
GILENYA 0.5 MG CAPSULE,GILENYA
GENURIN FORT 200 mg tablet,GENURIN
GAVISCON DOUBLE ACTION CHEWABLE TABLET,GAVISCON
GASTROZOLE,GASTROZOLE
GASTROFAIT TAB 500MG,GASTROFAIT
GASEC 40MG GASTRO CAPSULES,GASEC
GARDASIL RECOMBINANT VACCINE,GARDASIL
GAPENTIN,GAPENTIN
GENTAM 80MG-2ML AMP,GENTAM
GENTACIN,GENTACIN
GENPRID,GENPRID
GIAD 50 mg film-coated tablets,GIAD
GEMCITABIN EBEWE 200MG-20ML VAIL,GEMCITABIN
ISOPTIN S.R 240MG F.COATED TAB,ISOPTIN
ISOCAINE 3 % CARTRIDGE,ISOCAINE
ISOBIDE,ISOBIDE
IROKID 50MG-5ML SYRUP,IROKID
I-PROFEN 400MG TABLET,IPROFEN
IPRAMAX 25 MG FILM COATED TABLET,IPRAMAX
JOINTACE COLLAGEN TABLET,JOINTACE
JOINT CARE MAX CAPSULES AND TABLETS,JOINT
JOFLAM 50MG F.C. TABLETS,JOFLAM
JEDCORENE EFFERVESCENT GRANULES,JEDCORENE
JEDCOMAG EFFERVESCENT GRANULES5GM SACHET,JEDCOMAG
JEDCOFLACIN 200MG TABLETS,JEDCOFLACIN
JEDCO CAL - C EFFERVESCENT GRANULES,JEDCO
