Scientific Name,Drugs.com URL,Adult Dosage,Pediatric Dosage,Renal Dose,Liver Dose,Dosage Context
AXITINIB,https://www.drugs.com/dosage/axitinib.html,Renal Cell Carcinoma |,,,,[Adult] Renal Cell Carcinoma |
DEFIBROTIDE,https://www.drugs.com/dosage/defibrotide.html,Hepatic Veno-Occlusive Disease,Hepatic Veno-Occlusive Disease |,,,[Adult] Hepatic Veno-Occlusive Disease // [Pediatric] Hepatic Veno-Occlusive Disease |
AFATINIB,https://www.drugs.com/dosage/afatinib.html,Non-Small Cell Lung Cancer |,,,,[Adult] Non-Small Cell Lung Cancer |
VERICIGUAT,https://www.drugs.com/dosage/vericiguat.html,Heart Failure |,,,,[Adult] Heart Failure |
IBRUTINIB,https://www.drugs.com/dosage/ibrutinib.html,Chronic Lymphocytic Leukemia | Waldenstrom's Macroglobulinemia | Graft Versus Host Disease,Graft Versus Host Disease |,,,[Adult] Chronic Lymphocytic Leukemia | Waldenstrom's Macroglobulinemia | Graft Versus Host Disease // [Pediatric] Graft Versus Host Disease |
ENTECAVIR,https://www.drugs.com/dosage/entecavir.html,Chronic Hepatitis B,Chronic Hepatitis B |,,,[Adult] Chronic Hepatitis B // [Pediatric] Chronic Hepatitis B |
IVABRADINE,https://www.drugs.com/dosage/ivabradine.html,Congestive Heart Failure,Congestive Heart Failure |,,,[Adult] Congestive Heart Failure // [Pediatric] Congestive Heart Failure |
"PIPERACILLIN, Tazobactam",https://www.drugs.com/dosage/piperacillin-tazobactam.html,Appendicitis | Peritonitis | Intraabdominal Infection | Nosocomial Pneumonia | Skin or Soft Tissue Infection | Skin and Structure Infection | Pelvic Inflammatory Disease | Endometritis | Pneumonia | Surgical Prophylaxis | Pyelonephritis,Peritonitis | Appendicitis | Intraabdominal Infection | Nosocomial Pneumonia | Bacterial Infection | Endocarditis | Skin or Soft Tissue Infection | Skin and Structure Infection | Surgical Prophylaxis |,,,[Adult] Appendicitis | Peritonitis | Intraabdominal Infection | Nosocomial Pneumonia | Skin or Soft Tissue Infection | Skin and Structure Infection | Pelvic Inflammatory Disease | Endometritis | Pneumonia | Surgical Prophylaxis | Pyelonephritis // [Pediatric] Peritonitis | Appendicitis | Intraabdominal Infection | Nosocomial Pneumonia | Bacterial Infection | Endocarditis | Skin or Soft Tissue Infection | Skin and Structure Infection | Surgical Prophylaxis |
ERLOTINIB,https://www.drugs.com/dosage/erlotinib.html,Non-Small Cell Lung Cancer | Pancreatic Cancer |,,,,[Adult] Non-Small Cell Lung Cancer | Pancreatic Cancer |
"ABACAVIR, LAMIVUDINE",https://www.drugs.com/dosage/abacavir-lamivudine.html,HIV Infection | Occupational Exposure,HIV Infection |,,,[Adult] HIV Infection | Occupational Exposure // [Pediatric] HIV Infection |
MACITENTAN,https://www.drugs.com/dosage/macitentan.html,Pulmonary Hypertension |,,,,[Adult] Pulmonary Hypertension |
TRANEXAMIC ACID,https://www.drugs.com/dosage/tranexamic-acid.html,Bleeding | Menstrual Disorders,Bleeding | Menstrual Disorders |,,,[Adult] Bleeding | Menstrual Disorders // [Pediatric] Bleeding | Menstrual Disorders |
FOSCARNET,https://www.drugs.com/dosage/foscarnet.html,CMV Retinitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | CMV Gastroenteritis | Varicella-Zoster,CMV Retinitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | CMV Gastroenteritis | Varicella-Zoster |,,,[Adult] CMV Retinitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | CMV Gastroenteritis | Varicella-Zoster // [Pediatric] CMV Retinitis | Herpes Simplex - Mucocutaneous/Immunocompromised Host | CMV Gastroenteritis | Varicella-Zoster |
IPILIMUMAB,https://www.drugs.com/dosage/ipilimumab.html,Melanoma - Metastatic | Renal Cell Carcinoma | Colorectal Cancer | Hepatocellular Carcinoma | Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma | Esophageal Carcinoma,Melanoma - Metastatic | Colorectal Cancer |,,,[Adult] Melanoma - Metastatic | Renal Cell Carcinoma | Colorectal Cancer | Hepatocellular Carcinoma | Non-Small Cell Lung Cancer | Malignant Pleural Mesothelioma | Esophageal Carcinoma // [Pediatric] Melanoma - Metastatic | Colorectal Cancer |
DACARBAZINE,https://www.drugs.com/dosage/dacarbazine.html,Malignant Melanoma | Hodgkin's Disease |,,,,[Adult] Malignant Melanoma | Hodgkin's Disease |
DALFAMPRIDINE,https://www.drugs.com/dosage/dalfampridine.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
RAMIPRIL,https://www.drugs.com/dosage/ramipril.html,Hypertension | Congestive Heart Failure | Cardiovascular Risk Reduction |,,,,[Adult] Hypertension | Congestive Heart Failure | Cardiovascular Risk Reduction |
SELPERCATINIB,https://www.drugs.com/dosage/selpercatinib.html,Non-Small Cell Lung Cancer | Solid Tumors | Thyroid Cancer,Solid Tumors | Thyroid Cancer |,,,[Adult] Non-Small Cell Lung Cancer | Solid Tumors | Thyroid Cancer // [Pediatric] Solid Tumors | Thyroid Cancer |
ALFENTANIL,https://www.drugs.com/dosage/alfentanil.html,Anesthesia | Pain,Anesthesia | Pain |,,,[Adult] Anesthesia | Pain // [Pediatric] Anesthesia | Pain |
DEFEROXAMINE,https://www.drugs.com/dosage/deferoxamine.html,Iron Poisoning - Acute | Iron Poisoning - Chronic,Iron Poisoning - Acute | Iron Poisoning - Chronic |,,,[Adult] Iron Poisoning - Acute | Iron Poisoning - Chronic // [Pediatric] Iron Poisoning - Acute | Iron Poisoning - Chronic |
PYRAZINAMIDE,https://www.drugs.com/dosage/pyrazinamide.html,Tuberculosis - Active | Tuberculosis - Latent,Tuberculosis - Extrapulmonary | Tuberculosis - Active |,,,[Adult] Tuberculosis - Active | Tuberculosis - Latent // [Pediatric] Tuberculosis - Extrapulmonary | Tuberculosis - Active |
SIMETHICONE,https://www.drugs.com/dosage/simethicone.html,Dyspepsia | Flatulence,Flatulence |,,,[Adult] Dyspepsia | Flatulence // [Pediatric] Flatulence |
TINIDAZOLE,https://www.drugs.com/dosage/tinidazole.html,Trichomoniasis | Giardiasis | Amebiasis | Bacterial Vaginosis,Giardiasis | Amebiasis | Trichomoniasis |,,,[Adult] Trichomoniasis | Giardiasis | Amebiasis | Bacterial Vaginosis // [Pediatric] Giardiasis | Amebiasis | Trichomoniasis |
TRIPTORELIN,https://www.drugs.com/dosage/triptorelin.html,Prostate Cancer,Precocious Puberty |,,,[Adult] Prostate Cancer // [Pediatric] Precocious Puberty |
BUDESONIDE,https://www.drugs.com/dosage/budesonide.html,Asthma - Maintenance | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis | Eosinophilic Esophagitis | Primary Immunoglobulin A Nephropathy,Asthma - Maintenance | Crohn's Disease - Acute | Eosinophilic Esophagitis |,,,[Adult] Asthma - Maintenance | Crohn's Disease - Acute | Crohn's Disease - Maintenance | Ulcerative Colitis | Eosinophilic Esophagitis | Primary Immunoglobulin A Nephropathy // [Pediatric] Asthma - Maintenance | Crohn's Disease - Acute | Eosinophilic Esophagitis |
FILGRASTIM,https://www.drugs.com/dosage/filgrastim.html,Neutropenia Associated with Chemotherapy | Bone Marrow Transplantation | Peripheral Progenitor Cell Transplantation | Neutropenia | Neutropenia Associated with Radiation,Neutropenia Associated with Chemotherapy | Bone Marrow Transplantation | Peripheral Progenitor Cell Transplantation | Neutropenia | Neutropenia Associated with Radiation |,,,[Adult] Neutropenia Associated with Chemotherapy | Bone Marrow Transplantation | Peripheral Progenitor Cell Transplantation | Neutropenia | Neutropenia Associated with Radiation // [Pediatric] Neutropenia Associated with Chemotherapy | Bone Marrow Transplantation | Peripheral Progenitor Cell Transplantation | Neutropenia | Neutropenia Associated with Radiation |
HYDROXOCOBALAMIN,https://www.drugs.com/dosage/hydroxocobalamin.html,Schilling Test | Vitamin B12 Deficiency | Cyanide Poisoning | Vitamin/Mineral Supplementation,Schilling Test | Vitamin B12 Deficiency | Vitamin/Mineral Supplementation |,,,[Adult] Schilling Test | Vitamin B12 Deficiency | Cyanide Poisoning | Vitamin/Mineral Supplementation // [Pediatric] Schilling Test | Vitamin B12 Deficiency | Vitamin/Mineral Supplementation |
Midostaurin,https://www.drugs.com/dosage/midostaurin.html,Acute Myeloid Leukemia | Systemic Mastocytosis | Leukemia |,,,,[Adult] Acute Myeloid Leukemia | Systemic Mastocytosis | Leukemia |
MEDROXYPROGESTERONE ACETATE,https://www.drugs.com/dosage/medroxyprogesterone-acetate.html,Endometriosis | Endometrial Hyperplasia - Prophylaxis | Contraception | Abnormal Uterine Bleeding | Amenorrhea | Renal Cell Carcinoma | Endometrial Carcinoma,Contraception |,,,[Adult] Endometriosis | Endometrial Hyperplasia - Prophylaxis | Contraception | Abnormal Uterine Bleeding | Amenorrhea | Renal Cell Carcinoma | Endometrial Carcinoma // [Pediatric] Contraception |
OXCARBAZEPINE,https://www.drugs.com/dosage/oxcarbazepine.html,Epilepsy,Epilepsy |,,,[Adult] Epilepsy // [Pediatric] Epilepsy |
FAMCICLOVIR,https://www.drugs.com/dosage/famciclovir.html,Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Simplex - Suppression | Herpes Zoster | Herpes Simplex Labialis |,,,,[Adult] Herpes Simplex - Mucocutaneous/Immunocompetent Host | Herpes Simplex - Mucocutaneous/Immunocompromised Host | Herpes Simplex - Suppression | Herpes Zoster | Herpes Simplex Labialis |
Berotralstat,https://www.drugs.com/dosage/berotralstat.html,Angioedema,Angioedema |,,,[Adult] Angioedema // [Pediatric] Angioedema |
MAGALDRATE,https://www.drugs.com/dosage/magaldrate.html,Dyspepsia |,,,,[Adult] Dyspepsia |
BIMEKIZUMAB,https://www.drugs.com/dosage/bimekizumab.html,Plaque Psoriasis |,,,,[Adult] Plaque Psoriasis |
FLUMAZENIL,https://www.drugs.com/dosage/flumazenil.html,Reversal of Sedation | Benzodiazepine Overdose,Reversal of Sedation |,,,[Adult] Reversal of Sedation | Benzodiazepine Overdose // [Pediatric] Reversal of Sedation |
REVEFENACIN,https://www.drugs.com/dosage/revefenacin.html,Chronic Obstructive Pulmonary Disease - Maintenance |,,,,[Adult] Chronic Obstructive Pulmonary Disease - Maintenance |
LANSOPRAZOLE,https://www.drugs.com/dosage/lansoprazole.html,Erosive Esophagitis | Duodenal Ulcer | Duodenal Ulcer Prophylaxis | Duodenal Ulcer Maintenance | Gastroesophageal Reflux Disease | Gastric Ulcer | Multiple Endocrine Adenomas | Systemic Mastocytosis | Zollinger-Ellison Syndrome | Helicobacter pylori Infection | NSAID-Induced Gastric Ulcer | NSAID-Induced Ulcer Prophylaxis,Gastroesophageal Reflux Disease | Erosive Esophagitis |,,,[Adult] Erosive Esophagitis | Duodenal Ulcer | Duodenal Ulcer Prophylaxis | Duodenal Ulcer Maintenance | Gastroesophageal Reflux Disease | Gastric Ulcer | Multiple Endocrine Adenomas | Systemic Mastocytosis | Zollinger-Ellison Syndrome | Helicobacter pylori Infection | NSAID-Induced Gastric Ulcer | NSAID-Induced Ulcer Prophylaxis // [Pediatric] Gastroesophageal Reflux Disease | Erosive Esophagitis |
RANIBIZUMAB,https://www.drugs.com/dosage/ranibizumab.html,Macular Degeneration | Diabetic Retinopathy | Macular Edema |,,,,[Adult] Macular Degeneration | Diabetic Retinopathy | Macular Edema |
DIPYRIDAMOLE,https://www.drugs.com/dosage/dipyridamole.html,Thromboembolic Stroke Prophylaxis | Thallium Myocardial Imaging,Thromboembolic Stroke Prophylaxis |,,,[Adult] Thromboembolic Stroke Prophylaxis | Thallium Myocardial Imaging // [Pediatric] Thromboembolic Stroke Prophylaxis |
ONASEMNOGENE ABEPARVOVEC,https://www.drugs.com/dosage/onasemnogene-abeparvovec.html,,Spinal Muscular Atrophy |,,,[Pediatric] Spinal Muscular Atrophy |
PACLITAXEL,https://www.drugs.com/dosage/paclitaxel.html,Ovarian Cancer | Breast Cancer | Breast Cancer - Adjuvant | Non-Small Cell Lung Cancer | Kaposi's Sarcoma |,,,,[Adult] Ovarian Cancer | Breast Cancer | Breast Cancer - Adjuvant | Non-Small Cell Lung Cancer | Kaposi's Sarcoma |
EPTINEZUMAB,https://www.drugs.com/dosage/eptinezumab.html,Migraine Prophylaxis |,,,,[Adult] Migraine Prophylaxis |
BASILIXIMAB,https://www.drugs.com/dosage/basiliximab.html,Organ Transplant - Rejection Prophylaxis,Organ Transplant - Rejection Prophylaxis |,,,[Adult] Organ Transplant - Rejection Prophylaxis // [Pediatric] Organ Transplant - Rejection Prophylaxis |
VASOPRESSIN,https://www.drugs.com/dosage/vasopressin.html,Hypotension | Shock | Diabetes Insipidus | Abdominal Distension | Abdominal Radiological Procedure |,,,,[Adult] Hypotension | Shock | Diabetes Insipidus | Abdominal Distension | Abdominal Radiological Procedure |
BROMOCRIPTINE,https://www.drugs.com/dosage/bromocriptine.html,Hyperprolactinemia | Acromegaly | Parkinson's Disease | Diabetes Type 2,Hyperprolactinemia |,,,[Adult] Hyperprolactinemia | Acromegaly | Parkinson's Disease | Diabetes Type 2 // [Pediatric] Hyperprolactinemia |
GUAIFENESIN,https://www.drugs.com/dosage/guaifenesin.html,Cough,Cough |,,,[Adult] Cough // [Pediatric] Cough |
GENTAMICIN,https://www.drugs.com/dosage/gentamicin.html,Osteomyelitis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Burns - External | Endocarditis | Meningitis | CNS Infection | Intraabdominal Infection | Peritonitis | Upper Respiratory Tract Infection | Pneumonia | Bacteremia | Surgical Prophylaxis | Pelvic Inflammatory Disease | Plague | Tularemia | Bartonellosis,Sepsis | Burns - External | Urinary Tract Infection | Bacterial Infection | Upper Respiratory Tract Infection | Skin or Soft Tissue Infection | Osteomyelitis | Endocarditis | Meningitis | CNS Infection | Intraabdominal Infection | Peritonitis | Surgical Prophylaxis | Pelvic Inflammatory Disease | Tularemia | Bartonellosis |,,,[Adult] Osteomyelitis | Skin or Soft Tissue Infection | Bacterial Infection | Urinary Tract Infection | Sepsis | Burns - External | Endocarditis | Meningitis | CNS Infection | Intraabdominal Infection | Peritonitis | Upper Respiratory Tract Infection | Pneumonia | Bacteremia | Surgical Prophylaxis | Pelvic Inflammatory Disease | Plague | Tularemia | Bartonellosis // [Pediatric] Sepsis | Burns - External | Urinary Tract Infection | Bacterial Infection | Upper Respiratory Tract Infection | Skin or Soft Tissue Infection | Osteomyelitis | Endocarditis | Meningitis | CNS Infection | Intraabdominal Infection | Peritonitis | Surgical Prophylaxis | Pelvic Inflammatory Disease | Tularemia | Bartonellosis |
PAROXETINE,https://www.drugs.com/dosage/paroxetine.html,Depression | Major Depressive Disorder | Social Anxiety Disorder | Panic Disorder | Premenstrual Dysphoric Disorder | Obsessive Compulsive Disorder | Post Traumatic Stress Disorder | Generalized Anxiety Disorder | Postmenopausal Symptoms,,,,[Adult] Depression | Major Depressive Disorder | Social Anxiety Disorder | Panic Disorder | Premenstrual Dysphoric Disorder | Obsessive Compulsive Disorder | Post Traumatic Stress Disorder | Generalized Anxiety Disorder | Postmenopausal Symptoms
SELUMETINIB,https://www.drugs.com/dosage/selumetinib.html,,Fibromatosis |,,,[Pediatric] Fibromatosis |
PEGINTERFERON ALFA-2A,https://www.drugs.com/dosage/peginterferon-alfa-2a.html,Chronic Hepatitis C | Chronic Hepatitis B,Chronic Hepatitis C |,,,[Adult] Chronic Hepatitis C | Chronic Hepatitis B // [Pediatric] Chronic Hepatitis C |
FLUVASTATIN,https://www.drugs.com/dosage/fluvastatin.html,Hyperlipidemia | Hyperlipoproteinemia Type IIa (Elevated LDL) | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Dyslipidemia | Prevention of Cardiovascular Disease,Heterozygous Familial Hypercholesterolemia |,,,[Adult] Hyperlipidemia | Hyperlipoproteinemia Type IIa (Elevated LDL) | Hyperlipoproteinemia Type IIb (Elevated LDL + VLDL) | Dyslipidemia | Prevention of Cardiovascular Disease // [Pediatric] Heterozygous Familial Hypercholesterolemia |
APOMORPHINE,https://www.drugs.com/dosage/apomorphine.html,Parkinson's Disease |,,,,[Adult] Parkinson's Disease |
INSULIN GLULISINE,https://www.drugs.com/dosage/insulin-glulisine.html,Diabetes Type 1 | Diabetes Type 2 | Diabetic Ketoacidosis | Nonketotic Hyperosmolar Syndrome,Diabetes Type 1 |,,,[Adult] Diabetes Type 1 | Diabetes Type 2 | Diabetic Ketoacidosis | Nonketotic Hyperosmolar Syndrome // [Pediatric] Diabetes Type 1 |
PLASMA PROTEIN FRACTION,https://www.drugs.com/dosage/plasma-protein-fraction.html,Shock,Shock |,,,[Adult] Shock // [Pediatric] Shock |
UBROGEPANT,https://www.drugs.com/dosage/ubrogepant.html,Migraine |,,,,[Adult] Migraine |
MEFENAMIC ACID,https://www.drugs.com/dosage/mefenamic-acid.html,Pain | Dysmenorrhea,Pain | Dysmenorrhea |,,,[Adult] Pain | Dysmenorrhea // [Pediatric] Pain | Dysmenorrhea |
ENZALUTAMIDE,https://www.drugs.com/dosage/enzalutamide.html,Prostate Cancer |,,,,[Adult] Prostate Cancer |
AMISULPRIDE,https://www.drugs.com/dosage/amisulpride.html,Nausea/Vomiting - Postoperative |,,,,[Adult] Nausea/Vomiting - Postoperative |
AMINOPHYLLINE,https://www.drugs.com/dosage/aminophylline.html,Asthma - Acute,Asthma - Acute |,,,[Adult] Asthma - Acute // [Pediatric] Asthma - Acute |
ANAKINRA,https://www.drugs.com/dosage/anakinra.html,Rheumatoid Arthritis | Cryopyrin-Associated Periodic Syndrome | Interleukin-1 Receptor Antagonist Deficiency | COVID-19,Cryopyrin-Associated Periodic Syndrome | Interleukin-1 Receptor Antagonist Deficiency |,,,[Adult] Rheumatoid Arthritis | Cryopyrin-Associated Periodic Syndrome | Interleukin-1 Receptor Antagonist Deficiency | COVID-19 // [Pediatric] Cryopyrin-Associated Periodic Syndrome | Interleukin-1 Receptor Antagonist Deficiency |
TERIFLUNOMIDE,https://www.drugs.com/dosage/teriflunomide.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
POTASSIUM CHLORIDE,https://www.drugs.com/dosage/potassium-chloride.html,Hypokalemia | Prevention of Hypokalemia,Hypokalemia | Prevention of Hypokalemia |,,,[Adult] Hypokalemia | Prevention of Hypokalemia // [Pediatric] Hypokalemia | Prevention of Hypokalemia |
SOFOSBUVIR,https://www.drugs.com/dosage/sofosbuvir.html,Chronic Hepatitis C,Chronic Hepatitis C |,,,[Adult] Chronic Hepatitis C // [Pediatric] Chronic Hepatitis C |
"DORAVIRINE, LAMIVUDINE, TENOFOVIR DISOPROXIL",https://www.drugs.com/dosage/doravirine-lamivudine-tenofovir-disoproxil.html,HIV Infection,HIV Infection |,,,[Adult] HIV Infection // [Pediatric] HIV Infection |
DARBEPOETIN ALFA,https://www.drugs.com/dosage/darbepoetin-alfa.html,Anemia Associated with Chronic Renal Failure | Anemia Associated with Chemotherapy,Anemia Associated with Chronic Renal Failure |,,,[Adult] Anemia Associated with Chronic Renal Failure | Anemia Associated with Chemotherapy // [Pediatric] Anemia Associated with Chronic Renal Failure |
CABAZITAXEL,https://www.drugs.com/dosage/cabazitaxel.html,Prostate Cancer |,,,,[Adult] Prostate Cancer |
DEXMEDETOMIDINE,https://www.drugs.com/dosage/dexmedetomidine.html,Sedation,,,,[Adult] Sedation
OXYTOCIN,https://www.drugs.com/dosage/oxytocin.html,Labor Augmentation | Labor Induction | Postpartum Bleeding | Abortion |,,,,[Adult] Labor Augmentation | Labor Induction | Postpartum Bleeding | Abortion |
EXEMESTANE,https://www.drugs.com/dosage/exemestane.html,Breast Cancer |,,,,[Adult] Breast Cancer |
AGALSIDASE BETA,https://www.drugs.com/dosage/agalsidase-beta.html,Fabry Disease,Fabry Disease |,,,[Adult] Fabry Disease // [Pediatric] Fabry Disease |
BENRALIZUMAB,https://www.drugs.com/dosage/benralizumab.html,Asthma,Asthma |,,,[Adult] Asthma // [Pediatric] Asthma |
ANASTROZOLE,https://www.drugs.com/dosage/anastrozole.html,Breast Cancer |,,,,[Adult] Breast Cancer |
PERTUZUMAB,https://www.drugs.com/dosage/pertuzumab.html,Breast Cancer |,,,,[Adult] Breast Cancer |
SACITUZUMAB GOVITECAN,https://www.drugs.com/dosage/sacituzumab-govitecan.html,Breast Cancer | Urothelial Carcinoma |,,,,[Adult] Breast Cancer | Urothelial Carcinoma |
TOCILIZUMAB,https://www.drugs.com/dosage/tocilizumab.html,Rheumatoid Arthritis | Giant Cell Arteritis | Interstitial Lung Disease | Cytokine-Associated Toxicity | COVID-19,Juvenile Idiopathic Arthritis | Cytokine-Associated Toxicity | COVID-19 |,,,[Adult] Rheumatoid Arthritis | Giant Cell Arteritis | Interstitial Lung Disease | Cytokine-Associated Toxicity | COVID-19 // [Pediatric] Juvenile Idiopathic Arthritis | Cytokine-Associated Toxicity | COVID-19 |
ALBUMIN HUMAN,https://www.drugs.com/dosage/albumin-human.html,Peritonitis | Shock | Pancreatitis | Burns - External | Hypoproteinemia | Postoperative Albumin Loss,Peritonitis | Shock | Pancreatitis | Burns - External | Hypoproteinemia | Postoperative Albumin Loss |,,,[Adult] Peritonitis | Shock | Pancreatitis | Burns - External | Hypoproteinemia | Postoperative Albumin Loss // [Pediatric] Peritonitis | Shock | Pancreatitis | Burns - External | Hypoproteinemia | Postoperative Albumin Loss |
ESOMEPRAZOLE,https://www.drugs.com/dosage/esomeprazole.html,Gastroesophageal Reflux Disease | Erosive Esophagitis | Helicobacter pylori Infection | NSAID-Induced Gastric Ulcer | Zollinger-Ellison Syndrome | Pathological Hypersecretory Conditions | Duodenal Ulcer Prophylaxis | Gastric Ulcer Prophylaxis,Gastroesophageal Reflux Disease | Erosive Esophagitis |,,,[Adult] Gastroesophageal Reflux Disease | Erosive Esophagitis | Helicobacter pylori Infection | NSAID-Induced Gastric Ulcer | Zollinger-Ellison Syndrome | Pathological Hypersecretory Conditions | Duodenal Ulcer Prophylaxis | Gastric Ulcer Prophylaxis // [Pediatric] Gastroesophageal Reflux Disease | Erosive Esophagitis |
TRETINOIN,https://www.drugs.com/dosage/tretinoin.html,Acute Promyelocytic Leukemia,Acute Promyelocytic Leukemia |,,,[Adult] Acute Promyelocytic Leukemia // [Pediatric] Acute Promyelocytic Leukemia |
DORAVIRINE,https://www.drugs.com/dosage/doravirine.html,HIV Infection,HIV Infection |,,,[Adult] HIV Infection // [Pediatric] HIV Infection |
BENZOYL PEROXIDE,https://www.drugs.com/dosage/benzoyl-peroxide.html,Acne,Acne |,,,[Adult] Acne // [Pediatric] Acne |
MELPHALAN,https://www.drugs.com/dosage/melphalan.html,Multiple Myeloma | Ovarian Cancer |,,,,[Adult] Multiple Myeloma | Ovarian Cancer |
ZOLEDRONIC ACID,https://www.drugs.com/dosage/zoledronic-acid.html,Osteolytic Bone Lesions of Multiple Myeloma | Osteolytic Bone Metastases of Solid Tumors | Hypercalcemia of Malignancy | Paget's Disease | Osteoporosis | Prevention of Osteoporosis |,,,,[Adult] Osteolytic Bone Lesions of Multiple Myeloma | Osteolytic Bone Metastases of Solid Tumors | Hypercalcemia of Malignancy | Paget's Disease | Osteoporosis | Prevention of Osteoporosis |
TIRZEPATIDE,https://www.drugs.com/dosage/tirzepatide.html,Diabetes Type 2 |,,,,[Adult] Diabetes Type 2 |
ALTEPLASE,https://www.drugs.com/dosage/alteplase.html,Myocardial Infarction | Pulmonary Embolism | Ischemic Stroke | Thrombotic/Thromboembolic Disorder,Thrombotic/Thromboembolic Disorder |,,,[Adult] Myocardial Infarction | Pulmonary Embolism | Ischemic Stroke | Thrombotic/Thromboembolic Disorder // [Pediatric] Thrombotic/Thromboembolic Disorder |
SECUKINUMAB,https://www.drugs.com/dosage/secukinumab.html,Plaque Psoriasis | Psoriatic Arthritis | Ankylosing Spondylitis | Non-Radiographic Axial Spondyloarthritis | Hidradenitis Suppurativa,Plaque Psoriasis | Juvenile Psoriatic Arthritis | Enthesitis-Related Arthritis |,,,[Adult] Plaque Psoriasis | Psoriatic Arthritis | Ankylosing Spondylitis | Non-Radiographic Axial Spondyloarthritis | Hidradenitis Suppurativa // [Pediatric] Plaque Psoriasis | Juvenile Psoriatic Arthritis | Enthesitis-Related Arthritis |
ADENOSINE,https://www.drugs.com/dosage/adenosine.html,Radionuclide Myocardial Perfusion Study | Supraventricular Tachycardia | Wolff-Parkinson-White Syndrome,Supraventricular Tachycardia |,,,[Adult] Radionuclide Myocardial Perfusion Study | Supraventricular Tachycardia | Wolff-Parkinson-White Syndrome // [Pediatric] Supraventricular Tachycardia |
INSULIN DEGLUDEC,https://www.drugs.com/dosage/insulin-degludec.html,Diabetes Type 1 | Diabetes Type 2,Diabetes Type 1 | Diabetes Type 2 |,,,[Adult] Diabetes Type 1 | Diabetes Type 2 // [Pediatric] Diabetes Type 1 | Diabetes Type 2 |
INTERFERON BETA-1A,https://www.drugs.com/dosage/interferon-beta-1a.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
NIFEDIPINE,https://www.drugs.com/dosage/nifedipine.html,Hypertension | Angina Pectoris Prophylaxis | Angina Pectoris |,,,,[Adult] Hypertension | Angina Pectoris Prophylaxis | Angina Pectoris |
DASATINIB,https://www.drugs.com/dosage/dasatinib.html,Leukemia,Leukemia |,,,[Adult] Leukemia // [Pediatric] Leukemia |
"CILASTATIN, IMIPENEM",https://www.drugs.com/dosage/cilastatin-imipenem.html,Endocarditis | Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Pyelonephritis | Septicemia | Bacterial Infection | Urinary Tract Infection | Bronchitis | Pelvic Infections | Endometritis | Bacteremia | Skin or Soft Tissue Infection | Skin and Structure Infection | Nosocomial Pneumonia | Peritonitis,Bacteremia | Endocarditis | Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Pyelonephritis | Septicemia | Bacterial Infection | Urinary Tract Infection | Skin and Structure Infection | Bronchitis | Pelvic Infections | Endometritis | Peritonitis |,,,[Adult] Endocarditis | Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Pyelonephritis | Septicemia | Bacterial Infection | Urinary Tract Infection | Bronchitis | Pelvic Infections | Endometritis | Bacteremia | Skin or Soft Tissue Infection | Skin and Structure Infection | Nosocomial Pneumonia | Peritonitis // [Pediatric] Bacteremia | Endocarditis | Intraabdominal Infection | Joint Infection | Osteomyelitis | Pneumonia | Pyelonephritis | Septicemia | Bacterial Infection | Urinary Tract Infection | Skin and Structure Infection | Bronchitis | Pelvic Infections | Endometritis | Peritonitis |
RITUXIMAB,https://www.drugs.com/dosage/rituximab.html,non-Hodgkin's Lymphoma | Lymphoma | Rheumatoid Arthritis | Chronic Lymphocytic Leukemia | Wegener's Granulomatosis | Microscopic Polyangiitis | Pemphigus,Wegener's Granulomatosis | Microscopic Polyangiitis |,,,[Adult] non-Hodgkin's Lymphoma | Lymphoma | Rheumatoid Arthritis | Chronic Lymphocytic Leukemia | Wegener's Granulomatosis | Microscopic Polyangiitis | Pemphigus // [Pediatric] Wegener's Granulomatosis | Microscopic Polyangiitis |
PONESIMOD,https://www.drugs.com/dosage/ponesimod.html,Multiple Sclerosis |,,,,[Adult] Multiple Sclerosis |
CASPOFUNGIN,https://www.drugs.com/dosage/caspofungin.html,Febrile Neutropenia | Candidemia | Esophageal Candidiasis | Aspergillosis - Invasive,Febrile Neutropenia | Candidemia | Esophageal Candidiasis | Aspergillosis - Invasive |,,,[Adult] Febrile Neutropenia | Candidemia | Esophageal Candidiasis | Aspergillosis - Invasive // [Pediatric] Febrile Neutropenia | Candidemia | Esophageal Candidiasis | Aspergillosis - Invasive |
